Planet,R_E,T_eq,Case,Status
GJ1214b,2.85,604,0,2
W19b,15.6,2520,0,2
W4b,14.9,1664,0,2
W43b,11.28,1427,1,2
W50b,13.07,1395,0,1
HP23b,13.72,1951,0,1
W103b,18.45,2489,0,1
W96b,13.45,1285,0,1
W98b,12.82,1171,0,1
W31b,17.4,1580,0,2
W18b,14.6,2400,0,1
H5b,10.223,1025,0,1
W16b,13.65,1389,0,1
W80b,11.2,825,1,1
W39b,14.34,1166,0,0
HP26b,6.333,1001,1,0
W107b,11,770,1,0
H26b,19.6,1918,0,-1
W121b,20,2720,0,-1
W17b,21.2,1740,1,-1
W69b,11.85,963,1,-2
W79b,17.1,1716,1,-2
W124b,13.9,1400,3,-2
W55b,14.96,1300,3,-2
W25b,13.98,1210,3,-2
H29b,14.02,1212,3,-2
