# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 21 09:12:17 2020
#
# User preference: *
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_rade:        Planet Radius [Earth radii]
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_eqt,pl_rade
11 Com,b,11 Com b,Radial Velocity,,
11 UMi,b,11 UMi b,Radial Velocity,,
14 And,b,14 And b,Radial Velocity,,
14 Her,b,14 Her b,Radial Velocity,,
16 Cyg B,b,16 Cyg B b,Radial Velocity,,
18 Del,b,18 Del b,Radial Velocity,,
1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,1700,
24 Boo,b,24 Boo b,Radial Velocity,,
24 Sex,b,24 Sex b,Radial Velocity,,
24 Sex,c,24 Sex c,Radial Velocity,,
2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,,
2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,,16.141
2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,,
2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,1150,
2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,,
2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,2075,10.310
2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,,
30 Ari B,b,30 Ari B b,Radial Velocity,,
4 UMa,b,4 UMa b,Radial Velocity,,
42 Dra,b,42 Dra b,Radial Velocity,,
47 UMa,b,47 UMa b,Radial Velocity,,
47 UMa,c,47 UMa c,Radial Velocity,,
47 UMa,d,47 UMa d,Radial Velocity,,
51 Eri,b,51 Eri b,Imaging,,
51 Peg,b,51 Peg b,Radial Velocity,,
55 Cnc,b,55 Cnc b,Radial Velocity,,
55 Cnc,c,55 Cnc c,Radial Velocity,,
55 Cnc,d,55 Cnc d,Radial Velocity,,
55 Cnc,e,55 Cnc e,Radial Velocity,,1.910
55 Cnc,f,55 Cnc f,Radial Velocity,,
6 Lyn,b,6 Lyn b,Radial Velocity,,
61 Vir,b,61 Vir b,Radial Velocity,,
61 Vir,c,61 Vir c,Radial Velocity,,
61 Vir,d,61 Vir d,Radial Velocity,,
7 CMa,b,7 CMa b,Radial Velocity,,
7 CMa,c,7 CMa c,Radial Velocity,,
70 Vir,b,70 Vir b,Radial Velocity,,
75 Cet,b,75 Cet b,Radial Velocity,,
8 UMi,b,8 UMi b,Radial Velocity,,
81 Cet,b,81 Cet b,Radial Velocity,,
91 Aqr,b,91 Aqr b,Radial Velocity,,
AB Pic,b,AB Pic b,Imaging,,
BD+03 2562,b,BD+03 2562 b,Radial Velocity,,
BD+14 4559,b,BD+14 4559 b,Radial Velocity,,
BD+15 2375,b,BD+15 2375 b,Radial Velocity,,
BD+15 2940,b,BD+15 2940 b,Radial Velocity,,
BD+20 2457,b,BD+20 2457 b,Radial Velocity,,
BD+20 2457,c,BD+20 2457 c,Radial Velocity,,
BD+20 274,b,BD+20 274 b,Radial Velocity,,
BD+20 594,b,BD+20 594 b,Transit,,2.578
BD+48 738,b,BD+48 738 b,Radial Velocity,,
BD+48 740,b,BD+48 740 b,Radial Velocity,,
BD+49 828,b,BD+49 828 b,Radial Velocity,,
BD-06 1339,b,BD-06 1339 b,Radial Velocity,,
BD-06 1339,c,BD-06 1339 c,Radial Velocity,,
BD-08 2823,b,BD-08 2823 b,Radial Velocity,,
BD-08 2823,c,BD-08 2823 c,Radial Velocity,,
BD-10 3166,b,BD-10 3166 b,Radial Velocity,,
BD-11 4672,b,BD-11 4672 b,Radial Velocity,,
BD-13 2130,b,BD-13 2130 b,Radial Velocity,,
BD-17 63,b,BD-17 63 b,Radial Velocity,,
CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,Imaging,370,
CHXR 73,b,CHXR 73 b,Imaging,,
CI Tau,b,CI Tau b,Radial Velocity,,
CT Cha,b,CT Cha b,Imaging,2600,24.660
CoRoT-1,b,CoRoT-1 b,Transit,1898,16.700
CoRoT-10,b,CoRoT-10 b,Transit,600,10.870
CoRoT-11,b,CoRoT-11 b,Transit,1657,16.030
CoRoT-12,b,CoRoT-12 b,Transit,1442,16.140
CoRoT-13,b,CoRoT-13 b,Transit,1700,9.920
CoRoT-14,b,CoRoT-14 b,Transit,1952,12.220
CoRoT-16,b,CoRoT-16 b,Transit,,13.110
CoRoT-17,b,CoRoT-17 b,Transit,1626,11.430
CoRoT-18,b,CoRoT-18 b,Transit,1550,14.680
CoRoT-19,b,CoRoT-19 b,Transit,2000,14.460
CoRoT-2,b,CoRoT-2 b,Transit,,16.432
CoRoT-20,b,CoRoT-20 b,Transit,,
CoRoT-20,c,CoRoT-20 c,Radial Velocity,,
CoRoT-21,b,CoRoT-21 b,Transit,,14.572
CoRoT-22,b,CoRoT-22 b,Transit,885,4.880
CoRoT-23,b,CoRoT-23 b,Transit,1660,11.770
CoRoT-24,b,CoRoT-24 b,Transit,1070,3.700
CoRoT-24,c,CoRoT-24 c,Transit,850,5.000
CoRoT-25,b,CoRoT-25 b,Transit,1330,12.110
CoRoT-26,b,CoRoT-26 b,Transit,1600,14.120
CoRoT-27,b,CoRoT-27 b,Transit,1500,11.287
CoRoT-28,b,CoRoT-28 b,Transit,,10.705
CoRoT-29,b,CoRoT-29 b,Transit,,10.088
CoRoT-3,b,CoRoT-3 b,Transit,,11.320
CoRoT-30,b,CoRoT-30 b,Transit,,11.310
CoRoT-31,b,CoRoT-31 b,Transit,,16.365
CoRoT-4,b,CoRoT-4 b,Transit,1074,13.340
CoRoT-5,b,CoRoT-5 b,Transit,1438,15.558
CoRoT-6,b,CoRoT-6 b,Transit,1017,13.068
CoRoT-7,b,CoRoT-7 b,Transit,,1.681
CoRoT-7,c,CoRoT-7 c,Radial Velocity,,
CoRoT-8,b,CoRoT-8 b,Transit,,6.390
CoRoT-9,b,CoRoT-9 b,Transit,420,11.949
CoRoTID 223977153,b,CoRoTID 223977153 b,Transit,938,6.389
DE CVn,b,DE CVn b,Eclipse Timing Variations,,
DENIS-P J082303.1-491201,b,DENIS-P J082303.1-491201 b,Astrometry,,
DH Tau,b,DH Tau b,Imaging,,
DMPP-1,b,DMPP-1 b,Radial Velocity,877,
DMPP-1,c,DMPP-1 c,Radial Velocity,1239,
DMPP-1,d,DMPP-1 d,Radial Velocity,1632,
DMPP-1,e,DMPP-1 e,Radial Velocity,1314,
DMPP-2,b,DMPP-2 b,Radial Velocity,1000,
DMPP-3 A,b,DMPP-3 A b,Radial Velocity,854,
DP Leo,b,DP Leo b,Eclipse Timing Variations,,
DS Tuc A,b,DS Tuc A b,Transit,850,5.700
EPIC 201238110,b,EPIC 201238110 b,Transit,,1.870
EPIC 201497682,b,EPIC 201497682 b,Transit,,0.692
K2-166,c,EPIC 201615463 c,Transit,,1.220
K2-16,d,EPIC 201754305 d,Transit,,1.030
K2-50,c,EPIC 201833600 c,Transit,,1.000
EPIC 201841433,b,EPIC 201841433 b,Transit,,1.100
K2-168,c,EPIC 205950854 c,Transit,961,1.310
EPIC 206024342,b,EPIC 206024342 b,Transit,,1.700
EPIC 206032309,b,EPIC 206032309 b,Transit,,1.010
EPIC 206042996,b,EPIC 206042996 b,Transit,,1.620
EPIC 206215704,b,EPIC 206215704 b,Transit,,0.900
EPIC 206317286,b,EPIC 206317286 b,Transit,,0.960
EPIC 211822797,b,EPIC 211822797 b,Transit,,1.980
EPIC 211945201,b,EPIC 211945201 b,Transit,817,5.760
EPIC 212297394,b,EPIC 212297394 b,Transit,,1.323
EPIC 212424622,b,EPIC 212424622 b,Transit,,2.170
EPIC 212499991,b,EPIC 212499991 b,Transit,,1.600
EPIC 212587672,b,EPIC 212587672 b,Transit,,1.120
EPIC 212737443,b,EPIC 212737443 b,Transit,536,2.586
EPIC 212737443,c,EPIC 212737443 c,Transit,316,2.690
K2-282,c,EPIC 220554210 c,Transit,,1.480
EPIC 220674823,b,EPIC 220674823 b,Transit,2119,1.820
EPIC 220674823,c,EPIC 220674823 c,Transit,741,2.730
EPIC 246851721,b,EPIC 246851721 b,Transit,1401,11.781
EPIC 248847494,b,EPIC 248847494 b,Transit,183,12.442
EPIC 249893012,b,EPIC 249893012 b,Transit,1616,1.950
EPIC 249893012,c,EPIC 249893012 c,Transit,990,3.670
EPIC 249893012,d,EPIC 249893012 d,Transit,752,3.940
FU Tau,b,FU Tau b,Imaging,2375,
G 9-40,b,G 9-40 b,Transit,456,2.025
GJ 1061,b,GJ 1061 b,Radial Velocity,,
GJ 1061,c,GJ 1061 c,Radial Velocity,,
GJ 1061,d,GJ 1061 d,Radial Velocity,,
GJ 1132,b,GJ 1132 b,Transit,529,
GJ 1132,c,GJ 1132 c,Radial Velocity,300,
GJ 1148,b,GJ 1148 b,Radial Velocity,,
GJ 1148,c,GJ 1148 c,Radial Velocity,,
GJ 1214,b,GJ 1214 b,Transit,,2.847
GJ 1252,b,GJ 1252 b,Transit,1089,1.193
GJ 1265,b,GJ 1265 b,Radial Velocity,,
GJ 143,b,GJ 143 b,Transit,422,2.610
GJ 15 A,b,GJ 15 A b,Radial Velocity,,
GJ 15 A,c,GJ 15 A c,Radial Velocity,,
GJ 160.2,b,GJ 160.2 b,Radial Velocity,,
GJ 163,b,GJ 163 b,Radial Velocity,,
GJ 163,c,GJ 163 c,Radial Velocity,,
GJ 163,d,GJ 163 d,Radial Velocity,,
GJ 179,b,GJ 179 b,Radial Velocity,,
GJ 180,b,GJ 180 b,Radial Velocity,,
GJ 180,c,GJ 180 c,Radial Velocity,,
GJ 180,d,GJ 180 d,Radial Velocity,,
GJ 229,c,GJ 229 A c,Radial Velocity,,
GJ 229,b,GJ 229 b,Radial Velocity,,
GJ 27.1,b,GJ 27.1 b,Radial Velocity,,
GJ 273,b,GJ 273 b,Radial Velocity,,
GJ 273,c,GJ 273 c,Radial Velocity,,
GJ 3021,b,GJ 3021 b,Radial Velocity,350,
GJ 3082,b,GJ 3082 b,Radial Velocity,,
GJ 3138,b,GJ 3138 b,Radial Velocity,,
GJ 3138,c,GJ 3138 c,Radial Velocity,,
GJ 3138,d,GJ 3138 d,Radial Velocity,,
GJ 317,b,GJ 317 b,Radial Velocity,,
GJ 317,c,GJ 317 c,Radial Velocity,,
GJ 328,b,GJ 328 b,Radial Velocity,,
GJ 3293,b,GJ 3293 b,Radial Velocity,,
GJ 3293,c,GJ 3293 c,Radial Velocity,,
GJ 3293,d,GJ 3293 d,Radial Velocity,,
